state,weather_ts,n_weather_events
OK,2017-03-20,17
KS,2016-07-11,21
TX,2017-01-09,5
TX,2016-08-01,1
ND,2016-05-30,5
OK,2016-09-12,3
ND,2017-05-22,1
OK,2016-03-14,3
ND,2016-06-20,33
TX,2018-01-08,2
NE,2017-06-05,7
TX,2017-02-20,1
OK,2016-07-04,10
NE,2018-05-14,20
OK,2019-02-04,4
SD,2017-06-26,26
ND,2016-08-15,3
ND,2016-07-04,80
TX,2017-05-01,78
TX,2016-11-28,2
TX,2017-10-16,10
SD,2017-09-18,22
NE,2017-03-20,7
OK,2017-05-15,79
KS,2017-05-08,27
TX,2018-07-16,1
OK,2017-06-12,27
NE,2018-08-27,32
SD,2018-08-27,40
OK,2018-05-14,97
OK,2016-08-15,1
TX,2018-05-14,232
SD,2016-06-20,12
ND,2018-07-30,11
KS,2017-05-15,142
TX,2016-07-04,15
OK,2017-07-31,1
NE,2017-06-12,131
OK,2017-09-18,1
TX,2017-06-26,16
OK,2018-05-28,130
KS,2018-04-30,185
TX,2017-06-12,69
OK,2018-03-26,6
ND,2018-05-07,1
ND,2018-08-27,28
SD,2017-06-05,30
KS,2016-05-30,11
SD,2018-07-02,69
ND,2018-07-16,13
KS,2017-07-31,11
KS,2018-10-08,2
SD,2016-08-01,13
TX,2018-10-15,2
ND,2016-08-08,30
OK,2018-04-02,8
KS,2017-05-29,31
ND,2017-07-24,6
NE,2016-05-02,12
OK,2016-06-27,5
KS,2016-03-28,25
ND,2017-09-18,8
ND,2018-09-03,13
OK,2018-02-19,4
TX,2017-01-02,1
TX,2017-09-18,8
KS,2017-10-16,3
OK,2018-06-18,114
TX,2016-06-20,1
NE,2017-09-11,15
TX,2017-10-02,1
SD,2018-09-03,5
ND,2018-06-25,51
NE,2016-08-15,16
KS,2017-06-12,151
TX,2017-03-20,25
KS,2018-09-03,4
SD,2016-06-06,3
KS,2016-04-11,18
KS,2017-04-10,54
ND,2018-06-04,57
